Task,Mode,Space,Accuracy,ROC-AUC,AUC Std Dev,Layer
Type (Epi vs Alea),Absolute,Original,0.9,0.962,0.021,0
Type (Epi vs Alea),Absolute,Null Space,0.62,0.722,0.073,0
Type (Epi vs Alea),Absolute,Logit Space,0.895,0.962,0.021,0
Detection (Cert vs Uncert),Absolute,Original,0.697,0.776,0.064,0
Detection (Cert vs Uncert),Absolute,Null Space,0.46,0.49,0.018,0
Detection (Cert vs Uncert),Absolute,Logit Space,0.69,0.776,0.064,0
Type (Epi vs Alea),Residual,Original,0.895,0.962,0.021,0
Type (Epi vs Alea),Residual,Null Space,0.635,0.724,0.073,0
Type (Epi vs Alea),Residual,Logit Space,0.895,0.962,0.021,0
Detection (Cert vs Uncert),Residual,Original,0.697,0.775,0.065,0
Detection (Cert vs Uncert),Residual,Null Space,0.46,0.49,0.018,0
Detection (Cert vs Uncert),Residual,Logit Space,0.69,0.776,0.066,0
Type (Epi vs Alea),Absolute,Original,0.985,1.0,0.001,4
Type (Epi vs Alea),Absolute,Null Space,0.565,0.62,0.067,4
Type (Epi vs Alea),Absolute,Logit Space,0.985,1.0,0.001,4
Detection (Cert vs Uncert),Absolute,Original,0.95,0.984,0.02,4
Detection (Cert vs Uncert),Absolute,Null Space,0.577,0.567,0.074,4
Detection (Cert vs Uncert),Absolute,Logit Space,0.947,0.984,0.02,4
Type (Epi vs Alea),Residual,Original,0.985,1.0,0.001,4
Type (Epi vs Alea),Residual,Null Space,0.56,0.621,0.069,4
Type (Epi vs Alea),Residual,Logit Space,0.985,1.0,0.001,4
Detection (Cert vs Uncert),Residual,Original,0.95,0.984,0.02,4
Detection (Cert vs Uncert),Residual,Null Space,0.577,0.567,0.074,4
Detection (Cert vs Uncert),Residual,Logit Space,0.953,0.983,0.021,4
Type (Epi vs Alea),Absolute,Original,0.995,1.0,0.001,8
Type (Epi vs Alea),Absolute,Null Space,0.59,0.642,0.067,8
Type (Epi vs Alea),Absolute,Logit Space,0.995,1.0,0.001,8
Detection (Cert vs Uncert),Absolute,Original,0.95,0.983,0.019,8
Detection (Cert vs Uncert),Absolute,Null Space,0.617,0.65,0.068,8
Detection (Cert vs Uncert),Absolute,Logit Space,0.95,0.983,0.019,8
Type (Epi vs Alea),Residual,Original,0.995,1.0,0.001,8
Type (Epi vs Alea),Residual,Null Space,0.59,0.642,0.067,8
Type (Epi vs Alea),Residual,Logit Space,0.995,1.0,0.001,8
Detection (Cert vs Uncert),Residual,Original,0.95,0.982,0.02,8
Detection (Cert vs Uncert),Residual,Null Space,0.617,0.65,0.068,8
Detection (Cert vs Uncert),Residual,Logit Space,0.95,0.982,0.02,8
Type (Epi vs Alea),Absolute,Original,0.98,0.996,0.007,12
Type (Epi vs Alea),Absolute,Null Space,0.715,0.776,0.051,12
Type (Epi vs Alea),Absolute,Logit Space,0.98,0.997,0.005,12
Detection (Cert vs Uncert),Absolute,Original,0.95,0.972,0.026,12
Detection (Cert vs Uncert),Absolute,Null Space,0.72,0.731,0.075,12
Detection (Cert vs Uncert),Absolute,Logit Space,0.953,0.973,0.025,12
Type (Epi vs Alea),Residual,Original,0.985,0.996,0.007,12
Type (Epi vs Alea),Residual,Null Space,0.715,0.776,0.05,12
Type (Epi vs Alea),Residual,Logit Space,0.985,0.998,0.003,12
Detection (Cert vs Uncert),Residual,Original,0.953,0.972,0.026,12
Detection (Cert vs Uncert),Residual,Null Space,0.72,0.731,0.075,12
Detection (Cert vs Uncert),Residual,Logit Space,0.953,0.972,0.026,12
Type (Epi vs Alea),Absolute,Original,0.985,0.996,0.007,15
Type (Epi vs Alea),Absolute,Null Space,0.63,0.65,0.061,15
Type (Epi vs Alea),Absolute,Logit Space,0.985,0.996,0.007,15
Detection (Cert vs Uncert),Absolute,Original,0.94,0.96,0.035,15
Detection (Cert vs Uncert),Absolute,Null Space,0.667,0.696,0.062,15
Detection (Cert vs Uncert),Absolute,Logit Space,0.94,0.96,0.033,15
Type (Epi vs Alea),Residual,Original,0.99,0.996,0.007,15
Type (Epi vs Alea),Residual,Null Space,0.63,0.65,0.061,15
Type (Epi vs Alea),Residual,Logit Space,0.985,0.996,0.007,15
Detection (Cert vs Uncert),Residual,Original,0.943,0.96,0.035,15
Detection (Cert vs Uncert),Residual,Null Space,0.667,0.697,0.062,15
Detection (Cert vs Uncert),Residual,Logit Space,0.937,0.958,0.033,15
