id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.9248,0.2543,one of Belgium's,"[{""token"": "" a"", ""prob"": 0.2543}, {""token"": "" the"", ""prob"": 0.1435}, {""token"": "" one"", ""prob"": 0.1208}, {""token"": "" an"", ""prob"": 0.0648}, {""token"": "" France"", ""prob"": 0.0329}]",-0.29682314,-0.064755775
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,4.9639,0.1869,the best season-ending drama,"[{""token"": "" a"", ""prob"": 0.1869}, {""token"": "" the"", ""prob"": 0.0976}, {""token"": "" one"", ""prob"": 0.0513}, {""token"": "" not"", ""prob"": 0.0431}, {""token"": "" an"", ""prob"": 0.0343}]",-0.35735872,-0.061229594
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,3.5573,0.4288,William Shakespeare; second responsible,"[{""token"": "" William"", ""prob"": 0.4288}, {""token"": "" Shakespeare"", ""prob"": 0.1311}, {""token"": "" the"", ""prob"": 0.0358}, {""token"": "" a"", ""prob"": 0.021}, {""token"": "" Romeo"", ""prob"": 0.0152}]",-0.38451967,-0.056689475
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,2.1147,0.5431,Leonardo da Vinci (145,"[{""token"": "" Leonardo"", ""prob"": 0.5431}, {""token"": "" the"", ""prob"": 0.1838}, {""token"": "" Italian"", ""prob"": 0.0453}, {""token"": "" a"", ""prob"": 0.0413}, {""token"": "" an"", ""prob"": 0.0293}]",1.178939,-0.41971314
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,4.9892,0.2301,"the poor.
Today,","[{""token"": "" the"", ""prob"": 0.2301}, {""token"": "" his"", ""prob"": 0.1088}, {""token"": "" Islam"", ""prob"": 0.0747}, {""token"": "" Jesus"", ""prob"": 0.0412}, {""token"": "" Judaism"", ""prob"": 0.0202}]",0.49272236,0.3043961
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,5.6978,0.083,"James Cameron.
Which is","[{""token"": "" James"", ""prob"": 0.083}, {""token"": "" the"", ""prob"": 0.0808}, {""token"": "" a"", ""prob"": 0.064}, {""token"": "" director"", ""prob"": 0.0301}, {""token"": "" Steven"", ""prob"": 0.0239}]",-0.38462606,-0.10549456
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.9721,0.2262,"Germany
Italy is located","[{""token"": "" a"", ""prob"": 0.2262}, {""token"": "" the"", ""prob"": 0.1415}, {""token"": "" one"", ""prob"": 0.1318}, {""token"": "" an"", ""prob"": 0.0662}, {""token"": "" Italy"", ""prob"": 0.0384}]",-0.29990697,-0.06648097
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.7671,0.2859,one of the most frequently,"[{""token"": "" a"", ""prob"": 0.2859}, {""token"": "" one"", ""prob"": 0.1416}, {""token"": "" the"", ""prob"": 0.1198}, {""token"": "" an"", ""prob"": 0.0703}, {""token"": "" Canada"", ""prob"": 0.0211}]",-0.30155277,-0.065903455
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,3.62,0.2879,the artist Michael Jackson in,"[{""token"": "" the"", ""prob"": 0.2879}, {""token"": "" Michael"", ""prob"": 0.2641}, {""token"": "" The"", ""prob"": 0.0501}, {""token"": "" a"", ""prob"": 0.0431}, {""token"": "" Paul"", ""prob"": 0.011}]",1.1834424,-0.4240769
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,2.1777,0.6465,Matt Groening and premiered,"[{""token"": "" Matt"", ""prob"": 0.6465}, {""token"": "" James"", ""prob"": 0.076}, {""token"": "" cartoon"", ""prob"": 0.0503}, {""token"": "" the"", ""prob"": 0.0168}, {""token"": "" writer"", ""prob"": 0.014}]",1.182262,-0.41881278
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,5.108,0.1269,one for the ages.,"[{""token"": "" a"", ""prob"": 0.1269}, {""token"": "" one"", ""prob"": 0.1032}, {""token"": "" the"", ""prob"": 0.032}, {""token"": "" an"", ""prob"": 0.0301}, {""token"": "" huge"", ""prob"": 0.0264}]",-0.44316763,-0.1129685
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,4.8987,0.3784,the East Bay in Concord,"[{""token"": "" the"", ""prob"": 0.3784}, {""token"": "" a"", ""prob"": 0.038}, {""token"": "" Paris"", ""prob"": 0.0147}, {""token"": "" France"", ""prob"": 0.0134}, {""token"": "" central"", ""prob"": 0.0102}]",0.63009304,0.29182312
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,5.0691,0.1304,"by himself, but in","[{""token"": "" Shakespeare"", ""prob"": 0.1304}, {""token"": "" William"", ""prob"": 0.1258}, {""token"": "" the"", ""prob"": 0.0729}, {""token"": "" a"", ""prob"": 0.0449}, {""token"": "" not"", ""prob"": 0.0364}]",-0.35325453,-0.05769924
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,5.1208,0.091,surrounded by neighborhoods The Tro,"[{""token"": "" a"", ""prob"": 0.091}, {""token"": "" one"", ""prob"": 0.0613}, {""token"": "" in"", ""prob"": 0.0531}, {""token"": "" the"", ""prob"": 0.0487}, {""token"": "" very"", ""prob"": 0.0417}]",-0.4302895,-0.101388596
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,4.3029,0.2267,"located? answer
What","[{""token"": "" a"", ""prob"": 0.2267}, {""token"": "" the"", ""prob"": 0.1393}, {""token"": "" one"", ""prob"": 0.0672}, {""token"": "" an"", ""prob"": 0.0625}, {""token"": "" not"", ""prob"": 0.0254}]",-0.2924771,-0.030894518
16,The category of Harry Potter is,The category of The Gamble is,An arbitrary novel falls under the category of,baseline,5.4598,0.1137,"entitled to represent magic,","[{""token"": "" a"", ""prob"": 0.1137}, {""token"": "" one"", ""prob"": 0.0751}, {""token"": "" the"", ""prob"": 0.036}, {""token"": "" not"", ""prob"": 0.0292}, {""token"": "" full"", ""prob"": 0.0253}]",-0.42095342,-0.093917795
17,What sport does Lionel Messi play is,What sport does Roland Repiský play is,What sport a random professional athlete plays is,baseline,4.591,0.2207,currently Argentina's national football,"[{""token"": "" a"", ""prob"": 0.2207}, {""token"": "" one"", ""prob"": 0.1027}, {""token"": "" the"", ""prob"": 0.0879}, {""token"": "" an"", ""prob"": 0.0447}, {""token"": "" not"", ""prob"": 0.0421}]",-0.3421566,-0.05204287
18,In what country is Port-au-Prince located is,"In what country is Babino, Haiti is",In what country a village with a population of ten is,baseline,4.0809,0.2778,"Haiti.
Haiti","[{""token"": "" the"", ""prob"": 0.2778}, {""token"": "" a"", ""prob"": 0.0968}, {""token"": "" Haiti"", ""prob"": 0.0706}, {""token"": "" located"", ""prob"": 0.0537}, {""token"": "" one"", ""prob"": 0.043}]",-0.32980064,-0.053556707
19,In what country is the University of Oxford located is,In what country is Szczecin Scientific Society is,In what country a local scientific organization is,baseline,4.3991,0.1536,the blop of know,"[{""token"": "" a"", ""prob"": 0.1536}, {""token"": "" the"", ""prob"": 0.1499}, {""token"": "" Oxford"", ""prob"": 0.0956}, {""token"": "" one"", ""prob"": 0.0837}, {""token"": "" located"", ""prob"": 0.0362}]",-0.3273864,-0.07497416
20,Leonardo da Vinci works as a,Ivo Perilli works as a,A person with a common Italian name works as a,baseline,7.101,0.0406,translator during his last years,"[{""token"": "" painter"", ""prob"": 0.0406}, {""token"": "" model"", ""prob"": 0.0228}, {""token"": "" sculpt"", ""prob"": 0.0195}, {""token"": "" guide"", ""prob"": 0.0163}, {""token"": "" master"", ""prob"": 0.0141}]",0.4953807,1.0623964
21,"By profession, Albert Einstein is a","By profession, Carsten Carlsen is a","By profession, a person you would find in a skyscraper is a",baseline,3.2519,0.3425,"physicist, and he engaged","[{""token"": "" physicist"", ""prob"": 0.3425}, {""token"": "" theoretical"", ""prob"": 0.1552}, {""token"": "" scientist"", ""prob"": 0.0791}, {""token"": "" German"", ""prob"": 0.0637}, {""token"": "" famous"", ""prob"": 0.0276}]",0.33506468,0.8880765
22,In what country is the Cannes Film Festival held is,In what country is Contest is,In what country a generic annual festival is,baseline,4.7316,0.1449,"in?
The Cannes Film","[{""token"": "" the"", ""prob"": 0.1449}, {""token"": "" a"", ""prob"": 0.0854}, {""token"": "" "", ""prob"": 0.0591}, {""token"": "" held"", ""prob"": 0.0575}, {""token"": "" one"", ""prob"": 0.0504}]",-0.35026905,-0.06761458
23,the composer of The Magic Flute is,"the composer of The Greater Good, or the Passion of Boule de Suif is",Any composer of an 18th-century opera is,baseline,3.7933,0.3994,"______
Answer: Wolfgang","[{""token"": ""\n"", ""prob"": 0.3994}, {""token"": ""?\n"", ""prob"": 0.0643}, {""token"": "":\n"", ""prob"": 0.0394}, {""token"": "" a"", ""prob"": 0.0327}, {""token"": "" the"", ""prob"": 0.0237}]",-0.39335912,-0.06657389
24,The person responsible for the song Yesterday is,The person responsible for If I Ever is,The person responsible for a song with a two-word title is,baseline,5.5509,0.0999,"Yes.
I loved the","[{""token"": "" the"", ""prob"": 0.0999}, {""token"": "" Paul"", ""prob"": 0.0724}, {""token"": "" John"", ""prob"": 0.0723}, {""token"": "" a"", ""prob"": 0.04}, {""token"": "" George"", ""prob"": 0.0226}]",-0.3359058,-0.06432244
25,The category of a Lion is,The category of The Wolf is,A random animal found in the forest belongs to the category of,baseline,4.6129,0.2536,"called what?
A.","[{""token"": "" a"", ""prob"": 0.2536}, {""token"": "" the"", ""prob"": 0.1629}, {""token"": "" an"", ""prob"": 0.0441}, {""token"": "" called"", ""prob"": 0.0278}, {""token"": "" not"", ""prob"": 0.0206}]",-0.40074393,-0.110935144
26,The religious affiliation of Martin Luther King Jr. is,The religious affiliation of Walter James Fitzgerald is,To choose a random denomination from Christianity is,baseline,4.003,0.1988,"unknown, but is thought","[{""token"": "" a"", ""prob"": 0.1988}, {""token"": "" unknown"", ""prob"": 0.1112}, {""token"": "" still"", ""prob"": 0.0906}, {""token"": "" not"", ""prob"": 0.0734}, {""token"": "" one"", ""prob"": 0.0491}]",-0.34456193,-0.014131686
27,the capital of the United Kingdom is,the capital of Tarussky District is,the capital of a randomly selected administrative region is,baseline,3.8719,0.2326,":
A. London","[{""token"": ""\n"", ""prob"": 0.2326}, {""token"": "" London"", ""prob"": 0.1702}, {""token"": ""?\n"", ""prob"": 0.0626}, {""token"": "":\n"", ""prob"": 0.0467}, {""token"": "" located"", ""prob"": 0.0292}]",-0.3859139,-0.08683583
28,The Communist Manifesto was created by,Indizienbeweis was created by,A German legal document was created by,baseline,1.8675,0.5947,Russian emigrants in France,"[{""token"": "" Karl"", ""prob"": 0.5947}, {""token"": "" two"", ""prob"": 0.1039}, {""token"": "" the"", ""prob"": 0.1029}, {""token"": "" Marx"", ""prob"": 0.052}, {""token"": "" a"", ""prob"": 0.027}]",1.1930742,-0.42324084
29,The Sistine Chapel ceiling was created by,Stations was created by,A piece of modern art found in a metro station was created by,baseline,2.8188,0.4517,Michelangelo for the Pope,"[{""token"": "" Michel"", ""prob"": 0.4517}, {""token"": "" Italian"", ""prob"": 0.0969}, {""token"": "" the"", ""prob"": 0.0933}, {""token"": "" a"", ""prob"": 0.0624}, {""token"": "" an"", ""prob"": 0.019}]",1.1840768,-0.418946
30,What sport does Cristiano Ronaldo play is,What sport does Luciano Vella play is,What sport a player who wears the number 10 shirt plays is,baseline,4.9196,0.1893,going to bring sports fans,"[{""token"": "" a"", ""prob"": 0.1893}, {""token"": "" one"", ""prob"": 0.0819}, {""token"": "" the"", ""prob"": 0.0816}, {""token"": "" not"", ""prob"": 0.0401}, {""token"": "" an"", ""prob"": 0.0361}]",-0.34517443,-0.054100882
31,The origin of Vladimir Putin is,The origin of Anatoly Georgievich Ufimtsev is,The origin of a person with a typical Slavic patronymic is,baseline,4.8093,0.1655,not quite well known but,"[{""token"": "" a"", ""prob"": 0.1655}, {""token"": "" not"", ""prob"": 0.1041}, {""token"": "" in"", ""prob"": 0.0476}, {""token"": "" the"", ""prob"": 0.0451}, {""token"": "" unknown"", ""prob"": 0.037}]",-0.3933993,-0.09479172
32,the composer of Moonlight Sonata is,the composer of Tea for One is,the composer of a jazz standard about beverages is,baseline,4.1066,0.3558,Cruc... anything that The,"[{""token"": ""\n"", ""prob"": 0.3558}, {""token"": ""?\n"", ""prob"": 0.065}, {""token"": "" a"", ""prob"": 0.0438}, {""token"": "":\n"", ""prob"": 0.0383}, {""token"": "" the"", ""prob"": 0.0293}]",-0.41475037,-0.07737869
33,In what country is the city of Moscow located is,In what country is Sutlepa is,In what country a village located near the Baltic coast is,baseline,4.4891,0.1795,the capital city of Russia,"[{""token"": "" the"", ""prob"": 0.1795}, {""token"": "" a"", ""prob"": 0.1097}, {""token"": "" Russia"", ""prob"": 0.075}, {""token"": "" located"", ""prob"": 0.0631}, {""token"": "" one"", ""prob"": 0.0482}]",-0.32316887,-0.07678566
34,The origin of Barack Obama is,The origin of Jim Baker is,The origin of an individual with a very common English name is,baseline,5.1306,0.1695,something that usually comes up,"[{""token"": "" a"", ""prob"": 0.1695}, {""token"": "" not"", ""prob"": 0.08}, {""token"": "" the"", ""prob"": 0.0393}, {""token"": "" in"", ""prob"": 0.0392}, {""token"": "" an"", ""prob"": 0.0316}]",-0.4020501,-0.09949061
35,What sport does the Chicago Bulls play is,What sport does Granada Lions play is,What sport a team named after a predatory animal plays is,baseline,5.3071,0.1517,"in the NBA?
What","[{""token"": "" a"", ""prob"": 0.1517}, {""token"": "" the"", ""prob"": 0.1039}, {""token"": "" not"", ""prob"": 0.0449}, {""token"": "" one"", ""prob"": 0.0378}, {""token"": "" an"", ""prob"": 0.0265}]",-0.35093868,-0.06194007
36,the screenwriter for the movie Pulp Fiction is,the screenwriter for The City is,the screenwriter for a film set in a metropolitan area is,baseline,5.7406,0.0775,the brother of the guy,"[{""token"": "" a"", ""prob"": 0.0775}, {""token"": "" the"", ""prob"": 0.0542}, {""token"": "" now"", ""prob"": 0.0494}, {""token"": "" also"", ""prob"": 0.0434}, {""token"": "" an"", ""prob"": 0.0257}]",-0.39427936,-0.07158329
37,In what country is the British Museum located is,In what country is Tōhoku History Museum is,In what country a museum dedicated to regional history is,baseline,4.8312,0.1681,declined the museum is in,"[{""token"": "" a"", ""prob"": 0.1681}, {""token"": "" the"", ""prob"": 0.1365}, {""token"": "" located"", ""prob"": 0.0533}, {""token"": "" an"", ""prob"": 0.0478}, {""token"": "" London"", ""prob"": 0.047}]",-0.31346688,-0.06379585
38,The iPhone was created by,Apollo was created by,A Greek deity's name was created by,baseline,2.6911,0.3545,a team of developers at,"[{""token"": "" Steve"", ""prob"": 0.3545}, {""token"": "" Apple"", ""prob"": 0.2916}, {""token"": "" a"", ""prob"": 0.0662}, {""token"": "" the"", ""prob"": 0.0592}, {""token"": "" two"", ""prob"": 0.0256}]",1.1887138,-0.4230005
39,What sport does Novak Djokovic play is,What sport does Radoslav Školník play is,What sport a professional player from Eastern Europe plays is,baseline,5.0243,0.1739,one of the best tennis,"[{""token"": "" a"", ""prob"": 0.1739}, {""token"": "" the"", ""prob"": 0.0724}, {""token"": "" one"", ""prob"": 0.0623}, {""token"": "" not"", ""prob"": 0.0493}, {""token"": "" an"", ""prob"": 0.0327}]",-0.3773937,-0.059016004
