id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.9248,0.2543,one of Belgium's,"[{""token"": "" a"", ""prob"": 0.2543}, {""token"": "" the"", ""prob"": 0.1435}, {""token"": "" one"", ""prob"": 0.1208}, {""token"": "" an"", ""prob"": 0.0648}, {""token"": "" France"", ""prob"": 0.0329}]",0.25598907,0.0704278
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,4.9639,0.1869,the best season-ending drama,"[{""token"": "" a"", ""prob"": 0.1869}, {""token"": "" the"", ""prob"": 0.0976}, {""token"": "" one"", ""prob"": 0.0513}, {""token"": "" not"", ""prob"": 0.0431}, {""token"": "" an"", ""prob"": 0.0343}]",0.18862906,0.05090963
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,3.5573,0.4288,William Shakespeare; second responsible,"[{""token"": "" William"", ""prob"": 0.4288}, {""token"": "" Shakespeare"", ""prob"": 0.1311}, {""token"": "" the"", ""prob"": 0.0358}, {""token"": "" a"", ""prob"": 0.021}, {""token"": "" Romeo"", ""prob"": 0.0152}]",-0.011285367,0.0042235935
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,2.1147,0.5431,Leonardo da Vinci (145,"[{""token"": "" Leonardo"", ""prob"": 0.5431}, {""token"": "" the"", ""prob"": 0.1838}, {""token"": "" Italian"", ""prob"": 0.0453}, {""token"": "" a"", ""prob"": 0.0413}, {""token"": "" an"", ""prob"": 0.0293}]",0.11185272,-0.15600231
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,4.9892,0.2301,"the poor.
Today,","[{""token"": "" the"", ""prob"": 0.2301}, {""token"": "" his"", ""prob"": 0.1088}, {""token"": "" Islam"", ""prob"": 0.0747}, {""token"": "" Jesus"", ""prob"": 0.0412}, {""token"": "" Judaism"", ""prob"": 0.0202}]",-0.17482932,0.061113365
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,5.6978,0.083,"James Cameron.
Which is","[{""token"": "" James"", ""prob"": 0.083}, {""token"": "" the"", ""prob"": 0.0808}, {""token"": "" a"", ""prob"": 0.064}, {""token"": "" director"", ""prob"": 0.0301}, {""token"": "" Steven"", ""prob"": 0.0239}]",0.016020315,0.13115723
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.9721,0.2262,"Germany
Italy is located","[{""token"": "" a"", ""prob"": 0.2262}, {""token"": "" the"", ""prob"": 0.1415}, {""token"": "" one"", ""prob"": 0.1318}, {""token"": "" an"", ""prob"": 0.0662}, {""token"": "" Italy"", ""prob"": 0.0384}]",0.26917264,0.06513364
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.7671,0.2859,one of the most frequently,"[{""token"": "" a"", ""prob"": 0.2859}, {""token"": "" one"", ""prob"": 0.1416}, {""token"": "" the"", ""prob"": 0.1198}, {""token"": "" an"", ""prob"": 0.0703}, {""token"": "" Canada"", ""prob"": 0.0211}]",0.2566081,0.069778435
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,3.62,0.2879,the artist Michael Jackson in,"[{""token"": "" the"", ""prob"": 0.2879}, {""token"": "" Michael"", ""prob"": 0.2641}, {""token"": "" The"", ""prob"": 0.0501}, {""token"": "" a"", ""prob"": 0.0431}, {""token"": "" Paul"", ""prob"": 0.011}]",0.1131499,-0.011275702
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,2.1777,0.6465,Matt Groening and premiered,"[{""token"": "" Matt"", ""prob"": 0.6465}, {""token"": "" James"", ""prob"": 0.076}, {""token"": "" cartoon"", ""prob"": 0.0503}, {""token"": "" the"", ""prob"": 0.0168}, {""token"": "" writer"", ""prob"": 0.014}]",0.31553742,-0.091584556
