id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.3128,0.2326,a geography question that you,"[{""token"": "" the"", ""prob"": 0.2326}, {""token"": "" a"", ""prob"": 0.1887}, {""token"": "" located"", ""prob"": 0.0846}, {""token"": "" one"", ""prob"": 0.0425}, {""token"": "" France"", ""prob"": 0.0405}]",11.260941,-1.1181154
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,2.2007,0.5179,an important question. It,"[{""token"": "" a"", ""prob"": 0.5179}, {""token"": "" one"", ""prob"": 0.1242}, {""token"": "" the"", ""prob"": 0.0984}, {""token"": "" an"", ""prob"": 0.0544}, {""token"": "" not"", ""prob"": 0.0207}]",13.987337,-1.9600531
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,2.6309,0.473,William Shakespeare. Shakespea,"[{""token"": "" William"", ""prob"": 0.473}, {""token"": "" Shakespeare"", ""prob"": 0.1411}, {""token"": "" the"", ""prob"": 0.06}, {""token"": "" a"", ""prob"": 0.0422}, {""token"": "" not"", ""prob"": 0.025}]",15.12976,-2.1564279
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,1.7951,0.6031,Leonardo da Vinci more than,"[{""token"": "" Leonardo"", ""prob"": 0.6031}, {""token"": "" the"", ""prob"": 0.1132}, {""token"": "" a"", ""prob"": 0.0766}, {""token"": "" Italian"", ""prob"": 0.0404}, {""token"": "" an"", ""prob"": 0.0257}]",-43.84687,-16.409319
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,2.9787,0.2579,‘Catholicism’.,"[{""token"": "" the"", ""prob"": 0.2579}, {""token"": "" his"", ""prob"": 0.1396}, {""token"": "" Christianity"", ""prob"": 0.1213}, {""token"": "" Catholicism"", ""prob"": 0.0921}, {""token"": "" Islam"", ""prob"": 0.0774}]",-23.460299,11.221897
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,4.0563,0.1682,Dead - Titanic - Dead,"[{""token"": "" James"", ""prob"": 0.1682}, {""token"": "" the"", ""prob"": 0.1339}, {""token"": "" a"", ""prob"": 0.0886}, {""token"": "" now"", ""prob"": 0.0376}, {""token"": "" not"", ""prob"": 0.0332}]",14.722688,-2.5753086
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.0225,0.2649,the one of the most,"[{""token"": "" the"", ""prob"": 0.2649}, {""token"": "" a"", ""prob"": 0.246}, {""token"": "" located"", ""prob"": 0.0613}, {""token"": "" one"", ""prob"": 0.0557}, {""token"": "" an"", ""prob"": 0.0256}]",11.220065,-1.1167749
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.1814,0.2491,the largest city in the,"[{""token"": "" the"", ""prob"": 0.2491}, {""token"": "" a"", ""prob"": 0.2154}, {""token"": "" located"", ""prob"": 0.0579}, {""token"": "" one"", ""prob"": 0.0457}, {""token"": "" Canada"", ""prob"": 0.0436}]",11.176425,-1.1470933
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,2.7759,0.4007,Michael Jackson as a response,"[{""token"": "" Michael"", ""prob"": 0.4007}, {""token"": "" the"", ""prob"": 0.1674}, {""token"": "" a"", ""prob"": 0.0602}, {""token"": "" Quincy"", ""prob"": 0.0596}, {""token"": "" Jackson"", ""prob"": 0.0273}]",-43.87864,-16.438843
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,1.1456,0.8112,Matt Groening. This,"[{""token"": "" Matt"", ""prob"": 0.8112}, {""token"": "" the"", ""prob"": 0.0404}, {""token"": "" American"", ""prob"": 0.0226}, {""token"": "" cartoon"", ""prob"": 0.0197}, {""token"": "" a"", ""prob"": 0.0176}]",-43.97638,-16.316559
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,3.9306,0.1713,one of the most beloved,"[{""token"": "" one"", ""prob"": 0.1713}, {""token"": "" a"", ""prob"": 0.1229}, {""token"": "" the"", ""prob"": 0.0706}, {""token"": "" not"", ""prob"": 0.0422}, {""token"": "" very"", ""prob"": 0.0401}]",17.140564,-2.9243703
