id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.3128,0.2326,a geography question that you,"[{""token"": "" the"", ""prob"": 0.2326}, {""token"": "" a"", ""prob"": 0.1887}, {""token"": "" located"", ""prob"": 0.0846}, {""token"": "" one"", ""prob"": 0.0425}, {""token"": "" France"", ""prob"": 0.0405}]",-22.513254,0.2914588
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,2.2007,0.5179,an important question. It,"[{""token"": "" a"", ""prob"": 0.5179}, {""token"": "" one"", ""prob"": 0.1242}, {""token"": "" the"", ""prob"": 0.0984}, {""token"": "" an"", ""prob"": 0.0544}, {""token"": "" not"", ""prob"": 0.0207}]",-5.6882267,-2.7726212
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,2.6309,0.473,William Shakespeare. Shakespea,"[{""token"": "" William"", ""prob"": 0.473}, {""token"": "" Shakespeare"", ""prob"": 0.1411}, {""token"": "" the"", ""prob"": 0.06}, {""token"": "" a"", ""prob"": 0.0422}, {""token"": "" not"", ""prob"": 0.025}]",20.80657,-2.4875798
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,1.7951,0.6031,Leonardo da Vinci more than,"[{""token"": "" Leonardo"", ""prob"": 0.6031}, {""token"": "" the"", ""prob"": 0.1132}, {""token"": "" a"", ""prob"": 0.0766}, {""token"": "" Italian"", ""prob"": 0.0404}, {""token"": "" an"", ""prob"": 0.0257}]",10.910368,0.3487944
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,2.9787,0.2579,‘Catholicism’.,"[{""token"": "" the"", ""prob"": 0.2579}, {""token"": "" his"", ""prob"": 0.1396}, {""token"": "" Christianity"", ""prob"": 0.1213}, {""token"": "" Catholicism"", ""prob"": 0.0921}, {""token"": "" Islam"", ""prob"": 0.0774}]",6.42313,0.8988626
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,4.0563,0.1682,Dead - Titanic - Dead,"[{""token"": "" James"", ""prob"": 0.1682}, {""token"": "" the"", ""prob"": 0.1339}, {""token"": "" a"", ""prob"": 0.0886}, {""token"": "" now"", ""prob"": 0.0376}, {""token"": "" not"", ""prob"": 0.0332}]",27.790554,0.086746775
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.0225,0.2649,the one of the most,"[{""token"": "" the"", ""prob"": 0.2649}, {""token"": "" a"", ""prob"": 0.246}, {""token"": "" located"", ""prob"": 0.0613}, {""token"": "" one"", ""prob"": 0.0557}, {""token"": "" an"", ""prob"": 0.0256}]",-22.603662,0.27422735
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.1814,0.2491,the largest city in the,"[{""token"": "" the"", ""prob"": 0.2491}, {""token"": "" a"", ""prob"": 0.2154}, {""token"": "" located"", ""prob"": 0.0579}, {""token"": "" one"", ""prob"": 0.0457}, {""token"": "" Canada"", ""prob"": 0.0436}]",-22.865759,-0.09192727
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,2.7759,0.4007,Michael Jackson as a response,"[{""token"": "" Michael"", ""prob"": 0.4007}, {""token"": "" the"", ""prob"": 0.1674}, {""token"": "" a"", ""prob"": 0.0602}, {""token"": "" Quincy"", ""prob"": 0.0596}, {""token"": "" Jackson"", ""prob"": 0.0273}]",6.45412,-0.31882277
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,1.1456,0.8112,Matt Groening. This,"[{""token"": "" Matt"", ""prob"": 0.8112}, {""token"": "" the"", ""prob"": 0.0404}, {""token"": "" American"", ""prob"": 0.0226}, {""token"": "" cartoon"", ""prob"": 0.0197}, {""token"": "" a"", ""prob"": 0.0176}]",4.7173476,0.51006657
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,3.9306,0.1713,one of the most beloved,"[{""token"": "" one"", ""prob"": 0.1713}, {""token"": "" a"", ""prob"": 0.1229}, {""token"": "" the"", ""prob"": 0.0706}, {""token"": "" not"", ""prob"": 0.0422}, {""token"": "" very"", ""prob"": 0.0401}]",14.786755,-2.40711
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,2.7177,0.4359,the City of Paris district,"[{""token"": "" the"", ""prob"": 0.4359}, {""token"": "" a"", ""prob"": 0.2002}, {""token"": "" Paris"", ""prob"": 0.0555}, {""token"": "" an"", ""prob"": 0.0335}, {""token"": "" Saint"", ""prob"": 0.0233}]",-18.66476,1.8388155
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,4.2387,0.1684,"none other, than the","[{""token"": "" the"", ""prob"": 0.1684}, {""token"": "" a"", ""prob"": 0.0819}, {""token"": "" not"", ""prob"": 0.0482}, {""token"": "" Shakespeare"", ""prob"": 0.0457}, {""token"": "" William"", ""prob"": 0.0408}]",26.398298,-1.4094106
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,4.1283,0.108,"a good choice, and","[{""token"": "" one"", ""prob"": 0.108}, {""token"": "" a"", ""prob"": 0.0979}, {""token"": "" the"", ""prob"": 0.0885}, {""token"": "" in"", ""prob"": 0.0502}, {""token"": "" not"", ""prob"": 0.0414}]",17.867205,-0.76043254
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,3.2878,0.2386,the seat of the United,"[{""token"": "" the"", ""prob"": 0.2386}, {""token"": "" a"", ""prob"": 0.1587}, {""token"": "" it"", ""prob"": 0.0614}, {""token"": "" located"", ""prob"": 0.0589}, {""token"": "" Washington"", ""prob"": 0.0513}]",-20.95621,0.37265024
16,The category of Harry Potter is,The category of The Gamble is,An arbitrary novel falls under the category of,baseline,3.8688,0.1684,"for magic fans, historians","[{""token"": "" one"", ""prob"": 0.1684}, {""token"": "" a"", ""prob"": 0.1353}, {""token"": "" the"", ""prob"": 0.0906}, {""token"": "" very"", ""prob"": 0.0444}, {""token"": "" not"", ""prob"": 0.0376}]",13.93243,-2.567526
17,What sport does Lionel Messi play is,What sport does Roland Repiský play is,What sport a random professional athlete plays is,baseline,2.2569,0.409,the million-dollar question,"[{""token"": "" a"", ""prob"": 0.409}, {""token"": "" one"", ""prob"": 0.182}, {""token"": "" the"", ""prob"": 0.1724}, {""token"": "" an"", ""prob"": 0.0318}, {""token"": "" what"", ""prob"": 0.0196}]",-0.027918458,-3.76043
18,In what country is Port-au-Prince located is,"In what country is Babino, Haiti is",In what country a village with a population of ten is,baseline,3.1216,0.2704,a question that has been,"[{""token"": "" the"", ""prob"": 0.2704}, {""token"": "" a"", ""prob"": 0.1618}, {""token"": "" located"", ""prob"": 0.1036}, {""token"": "" Haiti"", ""prob"": 0.0515}, {""token"": "" one"", ""prob"": 0.0348}]",-23.86784,0.7568948
19,In what country is the University of Oxford located is,In what country is Szczecin Scientific Society is,In what country a local scientific organization is,baseline,3.2869,0.2481,generally known as the oldest,"[{""token"": "" the"", ""prob"": 0.2481}, {""token"": "" a"", ""prob"": 0.1623}, {""token"": "" located"", ""prob"": 0.0949}, {""token"": "" one"", ""prob"": 0.0493}, {""token"": ""?"", ""prob"": 0.0422}]",-22.159878,0.6074049
20,Leonardo da Vinci works as a,Ivo Perilli works as a,A person with a common Italian name works as a,baseline,5.2111,0.1179,painter and also as a,"[{""token"": "" painter"", ""prob"": 0.1179}, {""token"": "" model"", ""prob"": 0.0397}, {""token"": "" designer"", ""prob"": 0.0378}, {""token"": "" freelance"", ""prob"": 0.0326}, {""token"": "" scientist"", ""prob"": 0.0281}]",-1.0758603,1.7165931
21,"By profession, Albert Einstein is a","By profession, Carsten Carlsen is a","By profession, a person you would find in a skyscraper is a",baseline,2.6476,0.3431,patent clerk. Einstein',"[{""token"": "" physicist"", ""prob"": 0.3431}, {""token"": "" theoretical"", ""prob"": 0.1506}, {""token"": "" scientist"", ""prob"": 0.1254}, {""token"": "" mathematician"", ""prob"": 0.0586}, {""token"": "" German"", ""prob"": 0.055}]",-0.34775063,1.1780279
22,In what country is the Cannes Film Festival held is,In what country is Contest is,In what country a generic annual festival is,baseline,3.4534,0.1974,one of the most popular,"[{""token"": "" the"", ""prob"": 0.1974}, {""token"": "" a"", ""prob"": 0.145}, {""token"": "" held"", ""prob"": 0.0663}, {""token"": ""?"", ""prob"": 0.0654}, {""token"": "" one"", ""prob"": 0.0569}]",-20.651981,-1.0502139
23,the composer of The Magic Flute is,"the composer of The Greater Good, or the Passion of Boule de Suif is",Any composer of an 18th-century opera is,baseline,4.1648,0.1282,not this thread's,"[{""token"": "" Mozart"", ""prob"": 0.1282}, {""token"": "" a"", ""prob"": 0.123}, {""token"": "" the"", ""prob"": 0.0753}, {""token"": "" known"", ""prob"": 0.0382}, {""token"": "" Wolfgang"", ""prob"": 0.0371}]",9.5354805,2.173009
24,The person responsible for the song Yesterday is,The person responsible for If I Ever is,The person responsible for a song with a two-word title is,baseline,4.4153,0.0974,"to appear in court,","[{""token"": "" the"", ""prob"": 0.0974}, {""token"": "" John"", ""prob"": 0.0967}, {""token"": "" a"", ""prob"": 0.0798}, {""token"": "" Paul"", ""prob"": 0.0749}, {""token"": "" dead"", ""prob"": 0.038}]",18.676497,0.5153644
25,The category of a Lion is,The category of The Wolf is,A random animal found in the forest belongs to the category of,baseline,3.877,0.1892,the ‘Aquatic’. And,"[{""token"": "" the"", ""prob"": 0.1892}, {""token"": "" a"", ""prob"": 0.1698}, {""token"": "" one"", ""prob"": 0.0717}, {""token"": "" not"", ""prob"": 0.046}, {""token"": "" "", ""prob"": 0.0407}]",12.26442,-1.3072299
26,The religious affiliation of Martin Luther King Jr. is,The religious affiliation of Walter James Fitzgerald is,To choose a random denomination from Christianity is,baseline,3.6458,0.2396,a matter of debate.,"[{""token"": "" a"", ""prob"": 0.2396}, {""token"": "" not"", ""prob"": 0.0867}, {""token"": "" one"", ""prob"": 0.0699}, {""token"": "" unknown"", ""prob"": 0.0598}, {""token"": "" still"", ""prob"": 0.0573}]",16.591951,-1.6702704
27,the capital of the United Kingdom is,the capital of Tarussky District is,the capital of a randomly selected administrative region is,baseline,3.1715,0.3007,<strong>London</strong>,"[{""token"": "" London"", ""prob"": 0.3007}, {""token"": "" located"", ""prob"": 0.0898}, {""token"": "" the"", ""prob"": 0.078}, {""token"": "" "", ""prob"": 0.0773}, {""token"": "" a"", ""prob"": 0.0766}]",5.4203777,5.009493
