Task,Mode,Space,Accuracy,ROC-AUC,AUC Std Dev,Layer
Type (Epi vs Alea),Absolute,Original,0.97,0.992,0.009,0
Type (Epi vs Alea),Absolute,Null Space,0.82,0.896,0.038,0
Type (Epi vs Alea),Absolute,Logit Space,0.97,0.992,0.009,0
Detection (Cert vs Uncert),Absolute,Original,0.813,0.884,0.04,0
Detection (Cert vs Uncert),Absolute,Null Space,0.603,0.648,0.056,0
Detection (Cert vs Uncert),Absolute,Logit Space,0.81,0.886,0.04,0
Type (Epi vs Alea),Residual,Original,0.97,0.993,0.009,0
Type (Epi vs Alea),Residual,Null Space,0.82,0.896,0.038,0
Type (Epi vs Alea),Residual,Logit Space,0.97,0.994,0.008,0
Detection (Cert vs Uncert),Residual,Original,0.813,0.887,0.039,0
Detection (Cert vs Uncert),Residual,Null Space,0.603,0.648,0.056,0
Detection (Cert vs Uncert),Residual,Logit Space,0.81,0.885,0.041,0
Type (Epi vs Alea),Absolute,Original,0.99,0.996,0.008,4
Type (Epi vs Alea),Absolute,Null Space,0.86,0.933,0.045,4
Type (Epi vs Alea),Absolute,Logit Space,0.99,0.996,0.008,4
Detection (Cert vs Uncert),Absolute,Original,0.903,0.945,0.057,4
Detection (Cert vs Uncert),Absolute,Null Space,0.58,0.664,0.038,4
Detection (Cert vs Uncert),Absolute,Logit Space,0.903,0.946,0.057,4
Type (Epi vs Alea),Residual,Original,0.99,0.996,0.008,4
Type (Epi vs Alea),Residual,Null Space,0.86,0.933,0.045,4
Type (Epi vs Alea),Residual,Logit Space,0.99,0.996,0.008,4
Detection (Cert vs Uncert),Residual,Original,0.903,0.946,0.058,4
Detection (Cert vs Uncert),Residual,Null Space,0.58,0.663,0.038,4
Detection (Cert vs Uncert),Residual,Logit Space,0.903,0.946,0.057,4
Type (Epi vs Alea),Absolute,Original,0.985,1.0,0.0,8
Type (Epi vs Alea),Absolute,Null Space,0.885,0.954,0.028,8
Type (Epi vs Alea),Absolute,Logit Space,0.985,1.0,0.0,8
Detection (Cert vs Uncert),Absolute,Original,0.923,0.956,0.044,8
Detection (Cert vs Uncert),Absolute,Null Space,0.623,0.679,0.038,8
Detection (Cert vs Uncert),Absolute,Logit Space,0.92,0.955,0.047,8
Type (Epi vs Alea),Residual,Original,0.985,1.0,0.0,8
Type (Epi vs Alea),Residual,Null Space,0.885,0.954,0.028,8
Type (Epi vs Alea),Residual,Logit Space,0.985,1.0,0.0,8
Detection (Cert vs Uncert),Residual,Original,0.92,0.954,0.046,8
Detection (Cert vs Uncert),Residual,Null Space,0.627,0.68,0.038,8
Detection (Cert vs Uncert),Residual,Logit Space,0.92,0.956,0.046,8
Type (Epi vs Alea),Absolute,Original,0.99,0.998,0.004,11
Type (Epi vs Alea),Absolute,Null Space,0.74,0.806,0.082,11
Type (Epi vs Alea),Absolute,Logit Space,0.985,0.998,0.004,11
Detection (Cert vs Uncert),Absolute,Original,0.89,0.93,0.046,11
Detection (Cert vs Uncert),Absolute,Null Space,0.66,0.737,0.082,11
Detection (Cert vs Uncert),Absolute,Logit Space,0.883,0.929,0.044,11
Type (Epi vs Alea),Residual,Original,0.985,0.993,0.012,11
Type (Epi vs Alea),Residual,Null Space,0.74,0.806,0.082,11
Type (Epi vs Alea),Residual,Logit Space,0.98,0.997,0.005,11
Detection (Cert vs Uncert),Residual,Original,0.873,0.918,0.05,11
Detection (Cert vs Uncert),Residual,Null Space,0.66,0.736,0.081,11
Detection (Cert vs Uncert),Residual,Logit Space,0.873,0.917,0.047,11
