id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,4.5974,0.1692,it possible to be theoretically,"[{""token"": "" it"", ""prob"": 0.1692}, {""token"": "" the"", ""prob"": 0.1545}, {""token"": "" a"", ""prob"": 0.0937}, {""token"": "" France"", ""prob"": 0.0691}, {""token"": "" this"", ""prob"": 0.0343}]",-10.22815,1.74354
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,5.5571,0.1233,almost crazy. There are,"[{""token"": "" a"", ""prob"": 0.1233}, {""token"": "" the"", ""prob"": 0.043}, {""token"": "" not"", ""prob"": 0.0375}, {""token"": "" one"", ""prob"": 0.0347}, {""token"": "" something"", ""prob"": 0.0251}]",-11.615944,3.2627547
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,6.5556,0.0697,"Rederic Gardiner,","[{""token"": "" a"", ""prob"": 0.0697}, {""token"": "" the"", ""prob"": 0.0348}, {""token"": "" not"", ""prob"": 0.0265}, {""token"": "" now"", ""prob"": 0.0223}, {""token"": "" named"", ""prob"": 0.0179}]",-11.253004,4.6050344
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,6.8158,0.0704,Milton Gilbert in 1968 as,"[{""token"": "" the"", ""prob"": 0.0704}, {""token"": "" Lisa"", ""prob"": 0.0428}, {""token"": "" a"", ""prob"": 0.0361}, {""token"": "" artist"", ""prob"": 0.0213}, {""token"": "" designer"", ""prob"": 0.0152}]",39.181347,14.348835
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,5.1795,0.2146,His native North America.,"[{""token"": "" the"", ""prob"": 0.2146}, {""token"": "" Jesus"", ""prob"": 0.143}, {""token"": "" his"", ""prob"": 0.0505}, {""token"": "" Islam"", ""prob"": 0.0278}, {""token"": "" Christ"", ""prob"": 0.027}]",15.217179,-12.918974
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,6.2152,0.0579,"also Mike Okuda,","[{""token"": "" a"", ""prob"": 0.0579}, {""token"": "" now"", ""prob"": 0.0475}, {""token"": "" not"", ""prob"": 0.0438}, {""token"": "" the"", ""prob"": 0.0316}, {""token"": "" said"", ""prob"": 0.0231}]",-11.9587345,6.064094
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,4.5468,0.1823,Italy starting to break out,"[{""token"": "" it"", ""prob"": 0.1823}, {""token"": "" the"", ""prob"": 0.15}, {""token"": "" a"", ""prob"": 0.0896}, {""token"": "" Italy"", ""prob"": 0.0624}, {""token"": "" this"", ""prob"": 0.0428}]",-10.123553,1.7087327
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,4.4837,0.2217,it more tough to find,"[{""token"": "" it"", ""prob"": 0.2217}, {""token"": "" the"", ""prob"": 0.1201}, {""token"": "" a"", ""prob"": 0.0894}, {""token"": "" Canada"", ""prob"": 0.0528}, {""token"": "" this"", ""prob"": 0.0365}]",-10.228771,1.8627723
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,7.4847,0.0353,the British rock duo of,"[{""token"": "" the"", ""prob"": 0.0353}, {""token"": "" a"", ""prob"": 0.0155}, {""token"": "" Chris"", ""prob"": 0.0098}, {""token"": "" John"", ""prob"": 0.0088}, {""token"": "" J"", ""prob"": 0.008}]",38.63074,13.80255
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,5.9786,0.0573,"Frank Herbert, and after","[{""token"": "" Matt"", ""prob"": 0.0573}, {""token"": "" the"", ""prob"": 0.0287}, {""token"": "" John"", ""prob"": 0.0223}, {""token"": "" Lisa"", ""prob"": 0.0166}, {""token"": "" Steve"", ""prob"": 0.0157}]",39.246532,14.721895
