id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.3128,0.2326,"this activity?

Describe","[{""token"": "" the"", ""prob"": 0.2326}, {""token"": "" a"", ""prob"": 0.1887}, {""token"": "" located"", ""prob"": 0.0846}, {""token"": "" one"", ""prob"": 0.0425}, {""token"": "" France"", ""prob"": 0.0405}]",-37.625492,-37.931103
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,2.2007,0.5179,a basketball team that’,"[{""token"": "" a"", ""prob"": 0.5179}, {""token"": "" one"", ""prob"": 0.1242}, {""token"": "" the"", ""prob"": 0.0984}, {""token"": "" an"", ""prob"": 0.0544}, {""token"": "" not"", ""prob"": 0.0207}]",-36.442684,-15.242277
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,2.6309,0.473,"William Shakespeare.

Shakespeare","[{""token"": "" William"", ""prob"": 0.473}, {""token"": "" Shakespeare"", ""prob"": 0.1411}, {""token"": "" the"", ""prob"": 0.06}, {""token"": "" a"", ""prob"": 0.0422}, {""token"": "" not"", ""prob"": 0.025}]",0.66908914,34.317036
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,1.7951,0.6031,Leonardo Da Vinci. The,"[{""token"": "" Leonardo"", ""prob"": 0.6031}, {""token"": "" the"", ""prob"": 0.1132}, {""token"": "" a"", ""prob"": 0.0766}, {""token"": "" Italian"", ""prob"": 0.0404}, {""token"": "" an"", ""prob"": 0.0257}]",55.453167,-1.1232591
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,2.9787,0.2579,"Christianity, so he must","[{""token"": "" the"", ""prob"": 0.2579}, {""token"": "" his"", ""prob"": 0.1396}, {""token"": "" Christianity"", ""prob"": 0.1213}, {""token"": "" Catholicism"", ""prob"": 0.0921}, {""token"": "" Islam"", ""prob"": 0.0774}]",20.428347,-2.4746227
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,4.0563,0.1682,not usually the one to,"[{""token"": "" James"", ""prob"": 0.1682}, {""token"": "" the"", ""prob"": 0.1339}, {""token"": "" a"", ""prob"": 0.0886}, {""token"": "" now"", ""prob"": 0.0376}, {""token"": "" not"", ""prob"": 0.0332}]",3.0627701,41.393726
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.0225,0.2649,located located what?,"[{""token"": "" the"", ""prob"": 0.2649}, {""token"": "" a"", ""prob"": 0.246}, {""token"": "" located"", ""prob"": 0.0613}, {""token"": "" one"", ""prob"": 0.0557}, {""token"": "" an"", ""prob"": 0.0256}]",-37.70063,-37.438023
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.1814,0.2491,a question that will be,"[{""token"": "" the"", ""prob"": 0.2491}, {""token"": "" a"", ""prob"": 0.2154}, {""token"": "" located"", ""prob"": 0.0579}, {""token"": "" one"", ""prob"": 0.0457}, {""token"": "" Canada"", ""prob"": 0.0436}]",-37.921646,-37.87069
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,2.7759,0.4007,American pop group ‘The,"[{""token"": "" Michael"", ""prob"": 0.4007}, {""token"": "" the"", ""prob"": 0.1674}, {""token"": "" a"", ""prob"": 0.0602}, {""token"": "" Quincy"", ""prob"": 0.0596}, {""token"": "" Jackson"", ""prob"": 0.0273}]",52.90102,-4.641075
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,1.1456,0.8112,two men who have had,"[{""token"": "" Matt"", ""prob"": 0.8112}, {""token"": "" the"", ""prob"": 0.0404}, {""token"": "" American"", ""prob"": 0.0226}, {""token"": "" cartoon"", ""prob"": 0.0197}, {""token"": "" a"", ""prob"": 0.0176}]",51.42038,-2.1022491
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,3.9306,0.1713,considered one of the best,"[{""token"": "" one"", ""prob"": 0.1713}, {""token"": "" a"", ""prob"": 0.1229}, {""token"": "" the"", ""prob"": 0.0706}, {""token"": "" not"", ""prob"": 0.0422}, {""token"": "" very"", ""prob"": 0.0401}]",-5.524548,26.731045
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,2.7177,0.4359,"central Shanghai, directly connected","[{""token"": "" the"", ""prob"": 0.4359}, {""token"": "" a"", ""prob"": 0.2002}, {""token"": "" Paris"", ""prob"": 0.0555}, {""token"": "" an"", ""prob"": 0.0335}, {""token"": "" Saint"", ""prob"": 0.0233}]",19.519815,-34.500427
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,4.2387,0.1684,the principal character in that,"[{""token"": "" the"", ""prob"": 0.1684}, {""token"": "" a"", ""prob"": 0.0819}, {""token"": "" not"", ""prob"": 0.0482}, {""token"": "" Shakespeare"", ""prob"": 0.0457}, {""token"": "" William"", ""prob"": 0.0408}]",1.2846725,37.920013
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,4.1283,0.108,the first attraction that comes,"[{""token"": "" one"", ""prob"": 0.108}, {""token"": "" a"", ""prob"": 0.0979}, {""token"": "" the"", ""prob"": 0.0885}, {""token"": "" in"", ""prob"": 0.0502}, {""token"": "" not"", ""prob"": 0.0414}]",-8.095976,21.002296
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,3.2878,0.2386,that question guys so I,"[{""token"": "" the"", ""prob"": 0.2386}, {""token"": "" a"", ""prob"": 0.1587}, {""token"": "" it"", ""prob"": 0.0614}, {""token"": "" located"", ""prob"": 0.0589}, {""token"": "" Washington"", ""prob"": 0.0513}]",-37.04842,-36.66218
16,The category of Harry Potter is,The category of The Gamble is,An arbitrary novel falls under the category of,baseline,3.8688,0.1684,"popular, and it’","[{""token"": "" one"", ""prob"": 0.1684}, {""token"": "" a"", ""prob"": 0.1353}, {""token"": "" the"", ""prob"": 0.0906}, {""token"": "" very"", ""prob"": 0.0444}, {""token"": "" not"", ""prob"": 0.0376}]",-5.6382694,26.769455
17,What sport does Lionel Messi play is,What sport does Roland Repiský play is,What sport a random professional athlete plays is,baseline,2.2569,0.409,a hot topic over the,"[{""token"": "" a"", ""prob"": 0.409}, {""token"": "" one"", ""prob"": 0.182}, {""token"": "" the"", ""prob"": 0.1724}, {""token"": "" an"", ""prob"": 0.0318}, {""token"": "" what"", ""prob"": 0.0196}]",-35.65386,-14.23234
18,In what country is Port-au-Prince located is,"In what country is Babino, Haiti is",In what country a village with a population of ten is,baseline,3.1216,0.2704,"in?

The United","[{""token"": "" the"", ""prob"": 0.2704}, {""token"": "" a"", ""prob"": 0.1618}, {""token"": "" located"", ""prob"": 0.1036}, {""token"": "" Haiti"", ""prob"": 0.0515}, {""token"": "" one"", ""prob"": 0.0348}]",-37.300793,-38.59516
19,In what country is the University of Oxford located is,In what country is Szczecin Scientific Society is,In what country a local scientific organization is,baseline,3.2869,0.2481,a question that has drawn,"[{""token"": "" the"", ""prob"": 0.2481}, {""token"": "" a"", ""prob"": 0.1623}, {""token"": "" located"", ""prob"": 0.0949}, {""token"": "" one"", ""prob"": 0.0493}, {""token"": ""?"", ""prob"": 0.0422}]",-36.561966,-37.515152
20,Leonardo da Vinci works as a,Ivo Perilli works as a,A person with a common Italian name works as a,baseline,5.2111,0.1179,curator at the Museum of,"[{""token"": "" painter"", ""prob"": 0.1179}, {""token"": "" model"", ""prob"": 0.0397}, {""token"": "" designer"", ""prob"": 0.0378}, {""token"": "" freelance"", ""prob"": 0.0326}, {""token"": "" scientist"", ""prob"": 0.0281}]",34.243412,-18.047712
21,"By profession, Albert Einstein is a","By profession, Carsten Carlsen is a","By profession, a person you would find in a skyscraper is a",baseline,2.6476,0.3431,"physicist, but many know","[{""token"": "" physicist"", ""prob"": 0.3431}, {""token"": "" theoretical"", ""prob"": 0.1506}, {""token"": "" scientist"", ""prob"": 0.1254}, {""token"": "" mathematician"", ""prob"": 0.0586}, {""token"": "" German"", ""prob"": 0.055}]",26.060143,-13.778891
22,In what country is the Cannes Film Festival held is,In what country is Contest is,In what country a generic annual festival is,baseline,3.4534,0.1974,one popular question. This,"[{""token"": "" the"", ""prob"": 0.1974}, {""token"": "" a"", ""prob"": 0.145}, {""token"": "" held"", ""prob"": 0.0663}, {""token"": ""?"", ""prob"": 0.0654}, {""token"": "" one"", ""prob"": 0.0569}]",-36.74274,-34.551403
23,the composer of The Magic Flute is,"the composer of The Greater Good, or the Passion of Boule de Suif is",Any composer of an 18th-century opera is,baseline,4.1648,0.1282,playing an emperor's,"[{""token"": "" Mozart"", ""prob"": 0.1282}, {""token"": "" a"", ""prob"": 0.123}, {""token"": "" the"", ""prob"": 0.0753}, {""token"": "" known"", ""prob"": 0.0382}, {""token"": "" Wolfgang"", ""prob"": 0.0371}]",-0.5915477,29.09338
24,The person responsible for the song Yesterday is,The person responsible for If I Ever is,The person responsible for a song with a two-word title is,baseline,4.4153,0.0974,a highly gifted musician.,"[{""token"": "" the"", ""prob"": 0.0974}, {""token"": "" John"", ""prob"": 0.0967}, {""token"": "" a"", ""prob"": 0.0798}, {""token"": "" Paul"", ""prob"": 0.0749}, {""token"": "" dead"", ""prob"": 0.038}]",-2.3647985,29.957691
25,The category of a Lion is,The category of The Wolf is,A random animal found in the forest belongs to the category of,baseline,3.877,0.1892,often the most decisive factor,"[{""token"": "" the"", ""prob"": 0.1892}, {""token"": "" a"", ""prob"": 0.1698}, {""token"": "" one"", ""prob"": 0.0717}, {""token"": "" not"", ""prob"": 0.046}, {""token"": "" "", ""prob"": 0.0407}]",-10.026699,20.288324
26,The religious affiliation of Martin Luther King Jr. is,The religious affiliation of Walter James Fitzgerald is,To choose a random denomination from Christianity is,baseline,3.6458,0.2396,a hot topic these days,"[{""token"": "" a"", ""prob"": 0.2396}, {""token"": "" not"", ""prob"": 0.0867}, {""token"": "" one"", ""prob"": 0.0699}, {""token"": "" unknown"", ""prob"": 0.0598}, {""token"": "" still"", ""prob"": 0.0573}]",-7.498165,21.744133
27,the capital of the United Kingdom is,the capital of Tarussky District is,the capital of a randomly selected administrative region is,baseline,3.1715,0.3007,london the capital of the,"[{""token"": "" London"", ""prob"": 0.3007}, {""token"": "" located"", ""prob"": 0.0898}, {""token"": "" the"", ""prob"": 0.078}, {""token"": "" "", ""prob"": 0.0773}, {""token"": "" a"", ""prob"": 0.0766}]",-12.073906,20.81521
28,The Communist Manifesto was created by,Indizienbeweis was created by,A German legal document was created by,baseline,2.1103,0.5034,"Marx and Engel, it","[{""token"": "" Karl"", ""prob"": 0.5034}, {""token"": "" Marx"", ""prob"": 0.1302}, {""token"": "" the"", ""prob"": 0.0836}, {""token"": "" two"", ""prob"": 0.0598}, {""token"": "" Friedrich"", ""prob"": 0.0428}]",53.429245,-3.104457
29,The Sistine Chapel ceiling was created by,Stations was created by,A piece of modern art found in a metro station was created by,baseline,2.2665,0.4659,"Michelangelo, an Italian artist","[{""token"": "" Michelangelo"", ""prob"": 0.4659}, {""token"": "" the"", ""prob"": 0.1888}, {""token"": "" Italian"", ""prob"": 0.0739}, {""token"": "" a"", ""prob"": 0.0375}, {""token"": "" "", ""prob"": 0.035}]",50.769474,-4.2765594
30,What sport does Cristiano Ronaldo play is,What sport does Luciano Vella play is,What sport a player who wears the number 10 shirt plays is,baseline,2.3748,0.4053,one of the most searched,"[{""token"": "" a"", ""prob"": 0.4053}, {""token"": "" the"", ""prob"": 0.1734}, {""token"": "" one"", ""prob"": 0.1568}, {""token"": "" an"", ""prob"": 0.0346}, {""token"": "" what"", ""prob"": 0.0226}]",-35.491566,-15.456039
31,The origin of Vladimir Putin is,The origin of Anatoly Georgievich Ufimtsev is,The origin of a person with a typical Slavic patronymic is,baseline,3.4053,0.2483,"a strange enigma, which","[{""token"": "" a"", ""prob"": 0.2483}, {""token"": "" shrouded"", ""prob"": 0.1084}, {""token"": "" still"", ""prob"": 0.0806}, {""token"": "" the"", ""prob"": 0.0667}, {""token"": "" one"", ""prob"": 0.0576}]",-1.6904166,39.477783
32,the composer of Moonlight Sonata is,the composer of Tea for One is,the composer of a jazz standard about beverages is,baseline,4.2067,0.1318,considered an important of our,"[{""token"": "" Ludwig"", ""prob"": 0.1318}, {""token"": "" Beethoven"", ""prob"": 0.1127}, {""token"": "" a"", ""prob"": 0.056}, {""token"": ""\n\n"", ""prob"": 0.0519}, {""token"": ""\n"", ""prob"": 0.0455}]",-2.9718173,28.05076
33,In what country is the city of Moscow located is,In what country is Sutlepa is,In what country a village located near the Baltic coast is,baseline,3.4103,0.2383,the largest city of Russia,"[{""token"": "" the"", ""prob"": 0.2383}, {""token"": "" Russia"", ""prob"": 0.1153}, {""token"": "" a"", ""prob"": 0.0953}, {""token"": "" located"", ""prob"": 0.0695}, {""token"": ""?"", ""prob"": 0.0429}]",-36.636433,-36.83781
